                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3387,                 1.0956,                 1.0567,                0.76089,                0.26314,                0.30489,                0.16219,                  1.399,                 0.9401,                  1.051,             0.00047243,             0.00047243,             0.00047243
                      2,                 1.4048,                0.89806,                 1.0989,                0.54546,                0.26932,                  0.291,                 0.1592,                 1.4425,                 1.0343,                 1.0844,             0.00092998,             0.00092998,             0.00092998
                      3,                 1.4262,                0.89147,                  1.107,                0.76801,                0.25325,                0.28414,                0.15154,                 1.4574,                 1.1141,                 1.0812,              0.0013687,              0.0013687,              0.0013687
                      4,                 1.4227,                0.88286,                 1.1026,                0.54932,                0.24597,                0.29335,                0.15975,                 1.4445,                  0.951,                 1.0826,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3743,                0.83732,                 1.0848,                0.64977,                0.28356,                0.33525,                0.17636,                 1.4336,                0.79585,                 1.0623,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3546,                0.80237,                 1.0733,                 0.5261,                0.30236,                0.32703,                0.18249,                 1.3714,                0.79448,                 1.0425,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.3291,                0.78231,                 1.0616,                0.63895,                0.33995,                0.38229,                0.21049,                 1.2964,                0.71996,                 1.0113,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.3002,                0.76319,                 1.0494,                0.60684,                0.32892,                0.36664,                0.20038,                 1.2988,                0.72234,                 1.0003,              0.0012309,              0.0012309,              0.0012309
                      9,                  1.289,                0.74586,                 1.0434,                0.63076,                0.35878,                0.38769,                0.21236,                 1.2793,                0.71298,                0.99714,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2663,                0.72986,                 1.0349,                0.74163,                0.31072,                0.38984,                0.20868,                  1.303,                0.72271,                0.99492,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2346,                0.75972,                 1.0117,                0.69356,                0.35452,                0.39911,                0.21424,                 1.2628,                0.69124,                0.98742,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2409,                0.71249,                 1.0231,                0.62893,                0.37521,                 0.3964,                0.22941,                 1.2288,                0.66616,                0.97714,              0.0011178,              0.0011178,              0.0011178
                     13,                  1.221,                0.68546,                 1.0141,                 0.6633,                  0.344,                0.40268,                0.23164,                 1.2183,                 0.6586,                0.97048,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.2412,                0.73165,                 1.0146,                0.60004,                 0.3464,                0.39495,                 0.2272,                 1.2251,                0.65544,                0.96756,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.2117,                0.68194,                 1.0128,                0.75804,                 0.3486,                0.40157,                 0.2287,                 1.1896,                0.64455,                0.95487,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1836,                0.65679,                0.99851,                0.79858,                0.33407,                0.41284,                0.23077,                 1.1946,                0.63292,                0.95953,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1792,                 0.6459,                0.99809,                 0.6428,                 0.3528,                0.41078,                0.23413,                 1.1721,                0.61222,                0.94954,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.1702,                0.64511,                0.98824,                0.70783,                0.39727,                0.44512,                 0.2564,                 1.1449,                0.60503,                0.94518,               0.000948,               0.000948,               0.000948
                     19,                 1.1547,                0.63524,                0.98871,                0.59736,                 0.4218,                0.44297,                0.25742,                 1.1722,                0.60952,                0.95096,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.1269,                0.65295,                0.96855,                0.63912,                0.43214,                 0.4687,                  0.271,                 1.1441,                0.58477,                0.94602,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.1454,                0.62509,                0.98606,                0.65177,                 0.4114,                0.44908,                0.25302,                 1.1351,                0.58846,                0.93925,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.1234,                0.60863,                0.97697,                0.66069,                0.40745,                0.45215,                0.26508,                 1.1182,                0.59811,                 0.9316,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.1221,                0.60528,                0.97267,                 0.6964,                0.42754,                0.47872,                0.28075,                 1.1206,                0.58497,                0.93355,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.1221,                0.60732,                0.98499,                0.67675,                0.44404,                0.49586,                0.28135,                 1.0942,                0.57764,                0.92449,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.1074,                0.59652,                0.96874,                0.72102,                0.43133,                0.48276,                0.27811,                 1.0922,                0.55962,                0.92497,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.0994,                0.59632,                 0.9657,                0.71883,                0.45296,                0.50357,                0.28908,                 1.1105,                0.56555,                0.92665,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.0839,                0.58299,                0.95843,                0.74596,                0.40979,                0.48989,                0.28894,                 1.0697,                0.54796,                0.91627,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.0739,                0.56982,                0.95412,                0.75796,                0.44216,                 0.4975,                0.28691,                 1.0615,                0.53779,                0.91286,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.0713,                0.56907,                0.95484,                0.66924,                0.47571,                 0.5203,                0.30691,                 1.0713,                0.55071,                0.91555,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.0679,                0.56836,                0.95529,                0.72365,                0.44714,                0.51382,                0.30743,                 1.0536,                0.52574,                0.91347,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.0595,                0.55591,                0.94713,                0.76099,                0.46705,                0.53772,                0.31943,                 1.0611,                0.53224,                0.91169,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.0467,                0.55297,                0.95124,                0.74234,                0.45228,                0.50773,                0.31006,                 1.0625,                0.53199,                0.91289,             0.00055188,             0.00055188,             0.00055188
                     33,                  1.043,                 0.5502,                0.94854,                0.73474,                0.44931,                  0.528,                0.31127,                 1.0394,                0.51577,                0.90437,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.0401,                0.54066,                0.94212,                0.80222,                0.46211,                0.52603,                0.31697,                 1.0303,                0.51195,                0.90267,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.0365,                0.54117,                0.94051,                  0.749,                0.47192,                0.53133,                0.31967,                 1.0371,                0.51236,                0.90118,               0.000467,               0.000467,               0.000467
                     36,                 1.0374,                0.53737,                0.93513,                0.80277,                0.45424,                0.52953,                  0.321,                 1.0293,                0.50888,                0.90158,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0134,                0.52601,                0.93422,                0.73762,                 0.4564,                0.52534,                0.32376,                  1.021,                0.50002,                 0.8989,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0061,                0.51942,                0.92837,                0.68992,                 0.4992,                0.55013,                0.32908,                 1.0144,                0.49275,                0.89382,             0.00038211,             0.00038211,             0.00038211
                     39,                0.99934,                0.52244,                0.93134,                 0.7473,                0.43779,                  0.521,                0.31695,                0.99137,                0.48771,                0.89225,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0063,                0.51846,                 0.9289,                0.83301,                0.48775,                0.56532,                0.33562,                0.99609,                 0.4895,                0.89049,             0.00032553,             0.00032553,             0.00032553
                     41,                  1.008,                0.50446,                0.92576,                0.75805,                 0.4879,                0.55206,                 0.3329,                 1.0029,                0.48913,                0.89078,             0.00029723,             0.00029723,             0.00029723
                     42,                0.99298,                0.49513,                0.92364,                0.70945,                0.51492,                 0.5652,                0.34127,                0.98158,                0.47907,                0.88637,             0.00026894,             0.00026894,             0.00026894
                     43,                0.99033,                0.49335,                0.92001,                0.83634,                0.46544,                0.55811,                0.33999,                0.98927,                0.47804,                0.88433,             0.00024064,             0.00024064,             0.00024064
                     44,                 0.9802,                0.49006,                0.91604,                0.76651,                0.49433,                0.56475,                0.34313,                0.98473,                0.47646,                0.88518,             0.00021235,             0.00021235,             0.00021235
                     45,                0.97377,                0.48479,                0.91164,                0.74989,                0.46981,                0.54845,                0.34301,                 0.9638,                0.47156,                0.88126,             0.00018406,             0.00018406,             0.00018406
                     46,                0.96263,                0.47701,                0.90903,                0.78216,                0.49641,                0.55964,                0.34641,                  0.968,                0.46667,                0.88222,             0.00015576,             0.00015576,             0.00015576
                     47,                0.96285,                0.47405,                0.90983,                0.80036,                0.48342,                0.56342,                 0.3518,                0.95603,                0.46224,                0.87895,             0.00012747,             0.00012747,             0.00012747
                     48,                0.95063,                0.46922,                0.90454,                0.77281,                0.50531,                0.57088,                0.34904,                0.95283,                0.45859,                0.87744,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.93856,                0.46346,                0.90786,                0.74986,                0.50632,                0.56851,                0.34995,                0.94951,                0.45562,                0.87611,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.93348,                0.46007,                0.90158,                0.82209,                0.48304,                0.56742,                0.35358,                0.94993,                0.45543,                0.87633,             4.2584e-05,             4.2584e-05,             4.2584e-05
