                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3671,                  1.088,                  1.099,                0.68697,                0.22264,                0.25016,                0.13847,                 1.4229,                 2.2003,                 1.1457,             0.00047243,             0.00047243,             0.00047243
                      2,                 1.5133,                0.97059,                 1.1874,                0.68401,                0.19492,                0.20935,                0.11167,                 1.6051,                 1.3352,                  1.234,             0.00094784,             0.00094784,             0.00094784
                      3,                 1.5335,                0.99298,                 1.2002,                0.69126,                0.21986,                0.23251,                0.12363,                   1.52,                 1.6258,                   1.17,              0.0014195,              0.0014195,              0.0014195
                      4,                 1.4958,                 0.9377,                   1.17,                0.36122,                0.29179,                0.27668,                0.14551,                  1.512,                0.93648,                 1.1577,              0.0014165,              0.0014165,              0.0014165
                      5,                 1.4513,                0.88865,                 1.1561,                0.41363,                0.32861,                0.30692,                 0.1517,                 1.5236,                0.96428,                 1.1305,              0.0014068,              0.0014068,              0.0014068
                      6,                  1.404,                 0.8239,                 1.1242,                0.77962,                0.26352,                0.34649,                0.17887,                 1.3852,                0.79623,                 1.0703,              0.0013944,              0.0013944,              0.0013944
                      7,                 1.3666,                0.79843,                 1.1059,                0.55771,                0.32421,                0.34303,                0.18471,                 1.3764,                0.77722,                 1.0547,              0.0013793,              0.0013793,              0.0013793
                      8,                 1.3447,                0.76991,                 1.0947,                0.49008,                0.28822,                 0.3209,                0.17362,                 1.3825,                0.77061,                 1.0595,              0.0013617,              0.0013617,              0.0013617
                      9,                 1.3218,                0.75986,                  1.087,                0.62727,                0.30966,                0.34595,                0.19673,                 1.2741,                0.71379,                 1.0167,              0.0013415,              0.0013415,              0.0013415
                     10,                 1.2842,                0.72335,                 1.0717,                0.75642,                0.29972,                0.35834,                0.20469,                 1.2774,                0.70822,                 1.0158,              0.0013189,              0.0013189,              0.0013189
                     11,                 1.2726,                0.71278,                 1.0641,                0.57014,                0.31548,                0.34844,                0.19632,                 1.2624,                0.69153,                 1.0094,              0.0012939,              0.0012939,              0.0012939
                     12,                 1.2483,                0.69426,                 1.0524,                0.58789,                0.30095,                0.36653,                0.21048,                 1.2328,                0.66053,                0.99404,              0.0012667,              0.0012667,              0.0012667
                     13,                 1.2356,                0.68436,                 1.0422,                0.64209,                0.33484,                0.38861,                 0.2206,                 1.2078,                 0.6528,                0.98251,              0.0012373,              0.0012373,              0.0012373
                     14,                 1.2236,                0.66894,                 1.0381,                0.62841,                0.36759,                 0.3979,                0.22178,                 1.2519,                0.66506,                 1.0008,              0.0012059,              0.0012059,              0.0012059
                     15,                 1.2065,                 0.6608,                 1.0279,                0.58126,                0.38691,                 0.3883,                0.22313,                 1.2186,                0.65608,                0.99041,              0.0011725,              0.0011725,              0.0011725
                     16,                 1.1877,                0.64303,                  1.023,                0.65536,                0.34612,                0.39688,                0.22637,                 1.1936,                0.63001,                0.97349,              0.0011374,              0.0011374,              0.0011374
                     17,                 1.1865,                0.63517,                 1.0196,                0.65504,                0.36523,                 0.4127,                0.24055,                 1.1817,                0.62591,                0.97477,              0.0011007,              0.0011007,              0.0011007
                     18,                 1.1724,                0.63623,                 1.0121,                0.72532,                0.39604,                0.44606,                0.25949,                 1.1429,                0.59441,                0.95659,              0.0010624,              0.0010624,              0.0010624
                     19,                 1.1533,                0.61403,                 1.0055,                0.73368,                0.35348,                0.43677,                 0.2487,                 1.1654,                0.58491,                0.96203,              0.0010228,              0.0010228,              0.0010228
                     20,                 1.1446,                 0.6037,                 1.0019,                0.62289,                0.36979,                0.41939,                0.24382,                  1.133,                0.58449,                0.95607,             0.00098204,             0.00098204,             0.00098204
                     21,                 1.1322,                0.59924,                0.99638,                0.77506,                0.37552,                0.44128,                0.25482,                 1.1286,                0.58379,                0.95286,             0.00094023,             0.00094023,             0.00094023
                     22,                 1.1248,                0.59456,                0.98893,                0.69381,                0.38336,                0.45752,                0.26928,                 1.1065,                0.57532,                0.94353,             0.00089756,             0.00089756,             0.00089756
                     23,                  1.105,                0.57715,                0.98389,                0.74979,                0.41154,                0.47499,                0.27843,                 1.1078,                0.55748,                0.93889,             0.00085419,             0.00085419,             0.00085419
                     24,                 1.0877,                0.56622,                0.97611,                 0.5546,                0.44434,                0.45953,                0.27511,                 1.0797,                0.54827,                0.93495,              0.0008103,              0.0008103,              0.0008103
                     25,                 1.0862,                0.56115,                0.97521,                0.70456,                0.44444,                  0.477,                0.28149,                 1.0847,                0.54688,                0.93232,             0.00076606,             0.00076606,             0.00076606
                     26,                 1.0672,                0.55143,                0.96853,                0.81338,                0.38916,                  0.468,                0.28452,                 1.0564,                0.54061,                0.92604,             0.00072165,             0.00072165,             0.00072165
                     27,                 1.0621,                0.54709,                0.96364,                0.80382,                 0.4152,                0.49466,                0.29457,                 1.0746,                0.54165,                0.92544,             0.00067723,             0.00067723,             0.00067723
                     28,                 1.0407,                0.53216,                0.96225,                0.69698,                0.45791,                0.50465,                0.30602,                  1.036,                0.52328,                0.91839,             0.00063299,             0.00063299,             0.00063299
                     29,                  1.042,                0.53548,                0.95058,                0.71698,                0.44033,                0.49181,                0.30329,                 1.0425,                0.51428,                0.91781,              0.0005891,              0.0005891,              0.0005891
                     30,                 1.0298,                0.52505,                0.95177,                0.69583,                0.44681,                0.50466,                0.30396,                  1.028,                 0.5115,                0.91426,             0.00054573,             0.00054573,             0.00054573
                     31,                  1.016,                0.51257,                0.94594,                0.68459,                0.46258,                0.51016,                0.30688,                  1.026,                0.51092,                0.91031,             0.00050306,             0.00050306,             0.00050306
                     32,                 1.0114,                0.50492,                0.94976,                0.80458,                0.43708,                0.51222,                0.31287,                 1.0164,                0.50398,                0.90593,             0.00046125,             0.00046125,             0.00046125
                     33,                 1.0016,                 0.5029,                 0.9409,                0.71059,                 0.4936,                0.52728,                0.32359,                 1.0024,                0.49178,                0.90193,             0.00042047,             0.00042047,             0.00042047
                     34,                0.98777,                0.49365,                0.93628,                0.72645,                0.45674,                0.51822,                0.32307,                0.98151,                 0.4784,                0.89917,             0.00038087,             0.00038087,             0.00038087
                     35,                0.98243,                0.48696,                0.93266,                0.67279,                0.48881,                0.51296,                0.31709,                0.97638,                0.47411,                0.89846,             0.00034263,             0.00034263,             0.00034263
                     36,                0.96928,                0.48245,                0.92953,                0.64689,                0.51214,                 0.5245,                0.32124,                0.97175,                0.47119,                0.89591,             0.00030587,             0.00030587,             0.00030587
                     37,                0.95755,                0.47268,                0.92177,                0.81301,                0.44482,                0.53556,                0.32888,                0.96564,                0.46661,                0.89422,             0.00027076,             0.00027076,             0.00027076
                     38,                0.95423,                0.47024,                0.92253,                 0.8067,                0.46144,                 0.5369,                0.33907,                0.95111,                0.45974,                0.88938,             0.00023743,             0.00023743,             0.00023743
                     39,                0.94032,                0.46421,                0.91826,                0.72449,                0.49379,                0.54019,                0.34184,                0.94473,                0.45689,                0.88712,             0.00020601,             0.00020601,             0.00020601
                     40,                0.94713,                0.46218,                  0.915,                0.73623,                0.49799,                0.53643,                0.33983,                0.94009,                0.45169,                0.88722,             0.00017662,             0.00017662,             0.00017662
                     41,                0.93124,                 0.4552,                0.91495,                0.72956,                0.50654,                0.54459,                0.34295,                0.92984,                0.44901,                0.88336,             0.00014938,             0.00014938,             0.00014938
                     42,                0.91574,                0.44679,                0.91106,                0.78738,                0.47206,                0.54712,                0.34145,                0.92557,                0.44215,                0.88244,             0.00012441,             0.00012441,             0.00012441
                     43,                0.91449,                0.44563,                0.90911,                0.69514,                 0.5044,                0.54898,                 0.3462,                0.92748,                0.44155,                0.88152,             0.00010179,             0.00010179,             0.00010179
                     44,                 0.9097,                 0.4458,                 0.9065,                0.77881,                0.50383,                0.56207,                0.35317,                0.92527,                0.43907,                0.88073,             8.1611e-05,             8.1611e-05,             8.1611e-05
                     45,                0.90453,                0.44005,                0.90331,                0.79626,                0.49385,                0.56252,                0.35737,                0.91356,                0.43248,                0.87758,             6.3963e-05,             6.3963e-05,             6.3963e-05
                     46,                0.89863,                0.43739,                0.90317,                0.75213,                0.51322,                0.56248,                0.35841,                0.91314,                0.43311,                0.87733,              4.891e-05,              4.891e-05,              4.891e-05
                     47,                0.89821,                0.43888,                 0.9044,                0.77145,                0.51519,                0.56201,                0.35715,                0.91474,                0.43188,                0.87737,             3.6513e-05,             3.6513e-05,             3.6513e-05
                     48,                0.89427,                0.43394,                0.90065,                0.76062,                0.51903,                0.56626,                0.35861,                 0.9116,                0.43078,                0.87697,             2.6819e-05,             2.6819e-05,             2.6819e-05
                     49,                0.88426,                0.43142,                0.90385,                0.76374,                0.50813,                0.56387,                0.35952,                0.91001,                 0.4305,                0.87675,             1.9868e-05,             1.9868e-05,             1.9868e-05
                     50,                0.88753,                0.42997,                0.90119,                 0.8515,                0.49121,                0.56763,                0.35998,                 0.9077,                0.43073,                0.87581,             1.5686e-05,             1.5686e-05,             1.5686e-05
