                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3286,                 1.0513,                 1.0822,                0.72458,                 0.2256,                0.26175,                0.14402,                 1.4651,                  1.474,                 1.1468,             0.00047243,             0.00047243,             0.00047243
                      2,                 1.4506,                0.94434,                 1.1513,                0.34487,                0.22857,                0.23633,                0.12261,                 1.5188,                 2.1851,                 1.1779,             0.00092998,             0.00092998,             0.00092998
                      3,                 1.4727,                0.94567,                 1.1598,                0.72831,                0.22458,                0.23828,                0.12999,                 1.4935,                 1.1124,                 1.1638,              0.0013687,              0.0013687,              0.0013687
                      4,                 1.4427,                0.89319,                 1.1398,                0.59373,                0.25638,                 0.2878,                0.15649,                 1.4491,                0.98428,                  1.099,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3945,                0.85271,                 1.1224,                0.43866,                 0.2639,                0.30096,                0.16096,                 1.4315,                0.86207,                  1.084,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.3612,                0.81552,                 1.1005,                0.45018,                0.26854,                0.29722,                0.16418,                 1.3823,                0.86856,                 1.0593,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.3217,                0.77564,                 1.0821,                0.78947,                0.28333,                0.34272,                0.18658,                 1.3106,                0.74661,                  1.035,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2854,                0.74836,                 1.0682,                 0.6368,                0.30251,                0.34553,                0.19455,                 1.2822,                0.75439,                 1.0215,              0.0012309,              0.0012309,              0.0012309
                      9,                  1.279,                0.73393,                 1.0637,                0.69207,                 0.2963,                0.36885,                0.20894,                 1.2606,                 0.6906,                 1.0064,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2508,                0.71364,                  1.054,                0.58661,                0.34465,                0.37755,                0.20883,                  1.252,                0.67173,                0.99722,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2189,                0.74443,                 1.0289,                0.63955,                0.35688,                0.38483,                0.21475,                 1.2203,                0.67316,                0.98853,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2112,                0.69534,                 1.0326,                0.72062,                0.32541,                 0.4012,                0.23151,                 1.2182,                0.65309,                0.98573,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.1985,                  0.672,                 1.0247,                0.63772,                0.35872,                0.40373,                0.23114,                 1.2125,                 0.6375,                0.99181,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.2098,                0.69207,                 1.0246,                  0.558,                0.37022,                0.39635,                0.22741,                 1.1731,                0.62564,                0.96887,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.1867,                0.66313,                 1.0232,                0.64252,                0.35727,                0.40964,                 0.2313,                 1.1614,                0.61435,                0.96155,              0.0010329,              0.0010329,              0.0010329
